0,1,2,3,4,5,6
668.0,668,660-669.99,630-679.99,001-999.99,001-999.99,001-999.99
789.40,789.4,789,780-789.99,780-799.99,001-999.99,001-999.99
523.9,523,520-529.99,520-579.99,001-999.99,001-999.99,001-999.99
952.01,952.0,952,950-957.99,800-999.99,001-999.99,001-999.99
666.04,666.0,666,660-669.99,630-679.99,001-999.99,001-999.99
339.2,339,339-339.99,320-389.99,001-999.99,001-999.99,001-999.99
805.16,805.1,805,805-809.99,800-829.99,800-999.99,001-999.99
839.11,839.1,839,830-839.99,800-999.99,001-999.99,001-999.99
474.11,474.1,474,470-478.99,460-519.99,001-999.99,001-999.99
660.93,660.9,660,660-669.99,630-679.99,001-999.99,001-999.99
320.81,320.8,320,320-326.99,320-389.99,001-999.99,001-999.99
660.91,660.9,660,660-669.99,630-679.99,001-999.99,001-999.99
666.2,666,660-669.99,630-679.99,001-999.99,001-999.99,001-999.99
801.85,801.8,801,800-804.99,800-829.99,800-999.99,001-999.99
402.1,402,401-405.99,390-459.99,001-999.99,001-999.99,001-999.99
742.2,742,740-759.99,001-999.99,001-999.99,001-999.99,001-999.99
722.4,722,720-724.99,710-739.99,001-999.99,001-999.99,001-999.99
664.24,664.2,664,660-669.99,630-679.99,001-999.99,001-999.99
995.0,995,990-995.99,800-999.99,001-999.99,001-999.99,001-999.99
678-679.99,630-679.99,001-999.99,001-999.99,001-999.99,001-999.99,001-999.99
733.15,733.1,733,730-739.99,710-739.99,001-999.99,001-999.99
444.2,444,440-449.99,390-459.99,001-999.99,001-999.99,001-999.99
173.69,173.6,173,170-176.99,140-239.99,001-999.99,001-999.99
637.2,637,634-639.99,630-679.99,001-999.99,001-999.99,001-999.99
997.1,997,996-999.99,800-999.99,001-999.99,001-999.99,001-999.99
977.3,977,960-979.99,800-999.99,001-999.99,001-999.99,001-999.99
826,820-829.99,800-829.99,800-999.99,001-999.99,001-999.99,001-999.99
438.30,438.3,438,430-438.99,390-459.99,001-999.99,001-999.99
648.5,648,640-649.99,630-679.99,001-999.99,001-999.99,001-999.99
308.4,308,300-316.99,290-319.99,001-999.99,001-999.99,001-999.99
942,940-949.99,800-999.99,001-999.99,001-999.99,001-999.99,001-999.99
200.48,200.4,200,200-208.99,140-239.99,001-999.99,001-999.99
305.80,305.8,305,300-316.99,290-319.99,001-999.99,001-999.99
804.95,804.9,804,800-804.99,800-829.99,800-999.99,001-999.99
783.41,783.4,783,780-789.99,780-799.99,001-999.99,001-999.99
388.01,388.0,388,380-389.99,320-389.99,001-999.99,001-999.99
371.1,371,360-379.99,320-389.99,001-999.99,001-999.99,001-999.99
975.5,975,960-979.99,800-999.99,001-999.99,001-999.99,001-999.99
747.60,747.6,747,740-759.99,001-999.99,001-999.99,001-999.99
944.13,944.1,944,940-949.99,800-999.99,001-999.99,001-999.99
711.4,711,710-719.99,710-739.99,001-999.99,001-999.99,001-999.99
059.21,059.2,059,050-059.99,001-139.99,001-999.99,001-999.99
567.81,567.8,567,560-569.99,520-579.99,001-999.99,001-999.99
759.9,759,740-759.99,001-999.99,001-999.99,001-999.99,001-999.99
646.7,646,640-649.99,630-679.99,001-999.99,001-999.99,001-999.99
394.9,394,393-398.99,390-459.99,001-999.99,001-999.99,001-999.99
