0,1,2,3,4,5,6
11.4,11,08-16.99,00-99.99,00-99.99,00-99.99,00-99.99
52.82,52.8,52,42-54.99,00-99.99,00-99.99,00-99.99
93.46,93.4,93,87-99.99,00-99.99,00-99.99,00-99.99
94.26,94.2,94,87-99.99,00-99.99,00-99.99,00-99.99
28.91,28.9,28,21-29.99,00-99.99,00-99.99,00-99.99
92.28,92.2,92,87-99.99,00-99.99,00-99.99,00-99.99
08,08-16.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99
87.63,87.6,87,87-99.99,00-99.99,00-99.99,00-99.99
97.75,97.7,97,87-99.99,00-99.99,00-99.99,00-99.99
85.52,85.5,85,85-86.99,00-99.99,00-99.99,00-99.99
57.32,57.3,57,55-59.99,00-99.99,00-99.99,00-99.99
81.23,81.2,81,76-84.99,00-99.99,00-99.99,00-99.99
03.21,03.2,03,01-05.99,00-99.99,00-99.99,00-99.99
82.1,82,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
15.09,15.0,15,08-16.99,00-99.99,00-99.99,00-99.99
04.01,04.0,04,01-05.99,00-99.99,00-99.99,00-99.99
38.02,38.0,38,35-39.99,00-99.99,00-99.99,00-99.99
62.0,62,60-64.99,00-99.99,00-99.99,00-99.99,00-99.99
81.3,81,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
34.99,34.9,34,30-34.99,00-99.99,00-99.99,00-99.99
77.45,77.4,77,76-84.99,00-99.99,00-99.99,00-99.99
80.08,80.0,80,76-84.99,00-99.99,00-99.99,00-99.99
45.25,45.2,45,42-54.99,00-99.99,00-99.99,00-99.99
79.10,79.1,79,76-84.99,00-99.99,00-99.99,00-99.99
02.06,02.0,02,01-05.99,00-99.99,00-99.99,00-99.99
93.90,93.9,93,87-99.99,00-99.99,00-99.99,00-99.99
15.6,15,08-16.99,00-99.99,00-99.99,00-99.99,00-99.99
27.7,27,21-29.99,00-99.99,00-99.99,00-99.99,00-99.99
